Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,"Bean Bag Chair, Comfy Lounge Chair with Armrest and Back Support, Memory Foam Filled Sofa Chair with Washable Cover for Bedroom","<div class=""a-row a-spacing-small po-color"" data-mce-fragment=""1"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Elegant Bean Bag Chair: This chair is a comfortable and stylish piece of furniture that can add elegance and functionality to any room in a home or office. It is designed for individual seating and provides a comfortable place to relax, read a book, watch TV, or take a nap. The chair needs to be left in place for 2-4 days to allow the memory foam filler to fully rebound to its original state, so that the chair does not appear shriveled.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Comfy Lounge Chair: Armrest and back support are fully filled with memory foam to provide soft and full support. Whether you're looking for a traditional or modern design, this sofa chair is an excellent addition to any space and provides a comfortable and convenient seating option.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Washable and Sturdy Cover: The bean bag chair cover is made of durable fabric, it is washable, tear resistance and resistant to discoloration. The cover is well stitched to make the chair durable enough to be applied for both kids and adults.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Memory Foam Filled Sofa Chair: Memory foam is the ultimate solution for comfort and support. It's a high-density foam material with a memory effect, meaning it molds to your body shape and weight for customized comfort. It has no obviously odor, does not fade. It makes the chair soft, yet supportive texture offers pressure relief and reduces aches and pains, making it ideal for people with back pain or other physical discomfort.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Upholstered Soft Furniture: This sofa chair is typically smaller than a regular sofa and has a more upright seating position, making it a good option for reading or relaxing. It can be used in living rooms, bedrooms, and home offices and can be a great addition to any space where additional seating is needed.</span></li>
</ul>
</div>
<div class=""a-row a-spacing-small po-color"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Color:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Dark grey, Light grey</span>
</div>
<div class=""a-row a-spacing-small po-item_depth_width_height"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Product Dimensions:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">34""D x 36""W x 28""H</span>
</div>
<div class=""a-row a-spacing-small po-pattern"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Pattern:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Solid</span>
</div>
<div class=""a-row a-spacing-small po-special_feature"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Special Feature:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Sturdy</span>
</div>
<div class=""a-row a-spacing-small po-room_type"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Room Type:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Bedroom, Living Room, Office</span>
</div>
<div class=""a-row a-spacing-small po-item_firmness_description"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Item Firmness Description:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Soft</span>
</div>
<div class=""a-row a-spacing-small po-item_shape"" data-mce-fragment=""1""><br></div>",My Store,,Bean Bag,"Amazing Soft Sofa, Bean Bag, Bean Bag Chair, L-Shaped, Leather, Modern, Portable Sofa Chair, Removable, Soft Chair, Solid Pattern, Velvet, Western",true,Color,Darkgrey,,,,,"",0.0,shopify,996,deny,manual,399.00,899.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81huegeUwtL._AC_SL1500.jpg?v=1695529855,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81huegeUwtL._AC_SL1500.jpg?v=1695529855,kg,,,true,true,,,active
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,Lightgrey,,,,,"",0.0,shopify,1000,deny,manual,399.00,899.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81kToZNtPaL._AC_SL1500.jpg?v=1695529855,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81Gvkv4MXCL._AC_SL1500.jpg?v=1695529855,kg,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81nNdHBHb9L._AC_SL1500.jpg?v=1695529855,3,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Lf6ifHw3L._AC_SL1500__1.jpg?v=1695529855,4,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71vKfvYWdqL._AC_SL1500.jpg?v=1695529855,5,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81-Lapc5tCL._AC_SL1500.jpg?v=1695529855,6,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81Gvkv4MXCL._AC_SL1500.jpg?v=1695529855,7,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81nn2_wQomL._AC_SL1500.jpg?v=1695529855,8,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/814WzZmY7rL._AC_SL1500.jpg?v=1695529855,9,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Lf6ifHw3L._AC_SL1500.jpg?v=1695529855,10,,,,,,,,,,,,,,,,,,,,,,,,
